niche_id,niche_name,parent_category,opportunity_score,recommendation,winnability_score,winnability_recommendation,search_demand,commercial_intent,affiliate_quality,commercial_value,ease,volume,cpc_high,competition_index,program_count,trend_direction
electronics_monitor-vergleich,Monitor Vergleich,Consumer Electronics,40.8,BACKLOG,39.1,IGNORE,40.9,33.0,56.3,20.6,44.0,5000,0.79,56,15,stable
education_affiliate-marketing-kurse,Affiliate Marketing Kurse,Education & Learning,40.5,BACKLOG,46.1,BACKLOG,10.8,62.6,55.7,72.1,55.0,500,4.03,45,15,no_data
travel_mietwagenverleih,Mietwagenverleih,Travel & Hospitality,40.3,BACKLOG,48.4,BACKLOG,17.6,54.7,57.2,63.6,62.0,500,2.63,38,15,rising
transport_lagervermietung,Lagervermietung,Transport & Logistics,40.2,BACKLOG,40.7,BACKLOG,11.4,62.1,54.2,64.8,43.0,500,2.86,57,15,stable
automotive_carsharing-anbieter,Carsharing Anbieter,Automotive,40.0,BACKLOG,44.5,BACKLOG,18.2,53.5,56.3,57.6,54.0,500,2.15,46,15,rising
dating_singles-reisen,Singles Reisen,Dating & Social,40.0,BACKLOG,32.8,IGNORE,24.5,48.4,54.2,35.8,28.0,5000,1.23,72,15,falling
electronics_router-test,Router Test,Consumer Electronics,39.9,IGNORE,40.6,BACKLOG,39.2,32.6,56.1,22.7,49.0,5000,0.85,51,15,falling
sports_fahrrad-vergleich,Fahrrad Vergleich,Sports & Outdoor,39.1,IGNORE,36.3,IGNORE,32.2,36.4,58.3,23.6,40.0,500,0.86,60,15,rising
education_yoga-kurse,Yoga Kurse,Education & Learning,38.9,IGNORE,54.3,BACKLOG,39.2,30.4,55.3,37.6,83.0,5000,1.29,17,15,falling
media_podcast-equipment,Podcast Equipment,Media & Streaming,38.9,IGNORE,59.2,RESEARCH,38.5,30.7,56.1,43.9,94.0,5000,1.42,6,15,rising
crafts_nahmachine,Nähmachine,Crafts & DIY,38.8,IGNORE,18.8,IGNORE,32.3,37.2,54.9,3.3,0.0,5000,0.0,100,15,rising
education_fitness-kurse,Fitness Kurse,Education & Learning,38.7,IGNORE,53.8,BACKLOG,33.3,35.8,55.5,44.8,81.0,500,1.51,19,15,rising
software_chatbot-builder,Chatbot Builder,Software & SaaS,38.0,IGNORE,52.7,BACKLOG,6.9,59.6,57.2,78.2,75.0,50,5.87,25,15,stable
electronics_kamera-test,Kamera Test,Consumer Electronics,37.3,IGNORE,37.6,IGNORE,38.4,26.1,57.4,12.1,48.0,5000,0.48,52,15,falling
telecom_dns-sicherheit,DNS Sicherheit,Telecommunications,36.7,IGNORE,50.7,BACKLOG,6.4,58.3,54.0,75.2,73.0,50,4.52,27,15,stable
telecom_auslandstelefonie,Auslandstelefonie,Telecommunications,35.5,IGNORE,49.1,BACKLOG,12.5,49.2,54.0,61.2,73.0,50,2.44,27,15,rising
media_musikstreaming-dienste,Musikstreaming Dienste,Media & Streaming,34.9,IGNORE,43.7,BACKLOG,11.7,47.6,55.9,52.7,62.0,500,1.88,38,15,stable
sports_zelt-test,Zelt Test,Sports & Outdoor,33.5,IGNORE,15.0,IGNORE,15.0,39.9,57.4,7.6,0.0,500,0.31,100,15,falling
gaming_spielekonsole-vergleich,Spielekonsole Vergleich,Gaming,31.6,IGNORE,34.0,IGNORE,11.4,40.2,54.6,33.3,47.0,500,1.13,53,15,stable
education_online-kurse-programmierung,Online Kurse Programmierung,Education & Learning,26.5,IGNORE,15.2,IGNORE,5.3,32.3,57.2,3.3,14.0,50,0.0,86,15,no_data
sports_taucher-ausbildung,Taucher Ausbildung,Sports & Outdoor,21.8,IGNORE,39.3,IGNORE,6.3,19.6,57.4,19.4,80.0,50,0.77,20,15,stable
telecom_vpn-anbieter,VPN Anbieter,Telecommunications,21.7,IGNORE,16.4,IGNORE,24.6,2.2,54.9,3.3,0.0,0,0.0,0,15,rising
dating_partnervermittlung,Partnervermittlung,Dating & Social,21.6,IGNORE,16.4,IGNORE,24.3,2.2,55.1,3.3,0.0,0,0.0,0,15,stable
software_vpn-software,VPN Software,Software & SaaS,19.6,IGNORE,14.9,IGNORE,18.1,2.2,57.2,3.3,0.0,0,0.0,0,15,rising
b2b_buroraumvermietung,Büroraumvermietung,B2B & Professional Services,18.4,IGNORE,32.2,IGNORE,5.3,12.3,56.6,3.3,71.0,50,0.0,29,15,no_data
electronics_gaming-headset,Gaming Headset,Consumer Electronics,18.1,IGNORE,13.8,IGNORE,15.0,2.2,56.3,3.3,0.0,0,0.0,0,15,rising
beauty_anti-aging-produkte,Anti-Aging Produkte,Beauty & Personal Care,14.2,IGNORE,10.8,IGNORE,2.4,2.2,61.9,3.3,0.0,0,0.0,0,15,stable
security_schloss-upgrade,Schloss Upgrade,Home Security,13.2,IGNORE,10.1,IGNORE,2.3,2.2,57.2,3.3,0.0,0,0.0,0,15,stable
travel_ferienwohnung-plattformen,Ferienwohnung Plattformen,Travel & Hospitality,13.0,IGNORE,9.9,IGNORE,1.7,2.2,57.2,3.3,0.0,0,0.0,0,15,no_data
dating_dating-app-vergleich,Dating App Vergleich,Dating & Social,12.8,IGNORE,9.7,IGNORE,2.7,2.2,54.0,3.3,0.0,0,0.0,0,15,stable
